label,subject,category
2,When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.,politics
1,Health care reform legislation is likely to mandate free sex change surgeries.,politics
2,The economic turnaround started at the end of my term.,politics
0,The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.,politics
2,"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.",politics
2,"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.",politics
2,"Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty.",politics
1,"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.",politics
2,"In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote.",politics
0,McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' ,politics
2,"Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.",politics
1,Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.,politics
2,"Says Scott Walker favors cutting up to 350,000 families and children off health care.",politics
1,I dont know who (Jonathan Gruber) is.,politics
2,Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.,politics
1,"ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn.",politics
0,Says Paul Ryan is still endorsing Trump.,politics
1,What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.,politics
0,We have a federal government that thinks they have the authority to regulate our toilet seats.,politics
0,Austin is a city that has basically doubled in size every 25 years or so since it was founded.,politics
0,"The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.",politics
0,"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.",politics
1,Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.,politics
2,Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS.,politics
1,We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' ,politics
2,African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.,politics
1,President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.,politics
0,Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.,politics
1,Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.,politics
0,"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history",politics
2,"In Georgia, women earn 82 cents for every dollar earned by men.",politics
2,A federal system that verifies employees are authorized to work in the U.S. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time.,politics
1,Sen. Obama's campaign announced that he's choosing his cabinet.,politics
1,Only 2 percent of public high schools in the country offer PE classes.,politics
0,"On military recruiters at Harvard, Elena Kagan ""took a position and the Supreme Court ruled unanimously that she was wrong.""",politics
1,"Under Mayor Cicilline, [Providence] was a sanctuary city.",politics
0,"At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.",politics
1,"Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts.",politics
0,"If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor.",politics
0,"During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.",politics
1,On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings.,politics
1,Says Charlie Crist supports cuts to the Medicare Advantage program.,politics
2,I think it is unacceptable for the Chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of Europe put together -- forget the United States.,politics
0,Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.,politics
2,"At some point in their lives, 99% of women use birth control.",politics
1,"In the past 20 years, Egypt has made great strides in political and democratic reform.",politics
1,The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance.,politics
0,Says U.S. Rep. Steve Southerland voted to keep the shutdown going.,politics
2,"In Rick Perrys Texas, we import nurses ... from other countries.",politics
1,Austin is burdened by the fastest-growing tax increases of any major city in the nation.,politics
1,"Phoenix, Arizona, is the No. 2 kidnapping capital of the world.",politics
0,I belong to the AFL-CIO.,politics
2,Says a poll found him the only Republican candidate who could beat Barack Obama in Texas -- and by eight points.,politics
0,Did you know US population growth is at its lowest since the Great Depression?,politics
0,"Since 1968, more Americans have died from gunfire than died in all the wars of this countrys history.",politics
1,The Florida Department of Agricultures website FreshFromFlorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house.,politics
1,"NATO is opening up a major terror division. ... Im sure Im not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO.",politics
0,Sen. Obama has always had a 100 percent prochoice rating.,politics
2,"Since Gina Raimondo took office, investment fees on the states pension portfolio have gone up from about $12 million annually to about $50 million.",politics
0,The (federal) debt is growing by more than $4 billion a day.,politics
2,"Under President Barack Obamas jobs bill, states would no longer have to lay off teachers, firefighters and police officers.",politics
1,"Of our 98,000 teachers who are K-12, over 53,000 of those teachers today are over 50 years old.",politics
2,"Under President Obamas health-care reforms, the premium for an average plan for a family didnt go down by $2,500 per year, its gone up about $2,500 per year.",politics
2,"The IRS also investigated liberal groups, groups that had progressive in their name. ... The IRS was basically looking at everybody.",politics
0,The economy is creating jobs at the fastest pace since 1999.,politics
1,"About half of the presidents have been governors; half of them, senators.",politics
0,Says 88 Texas constables have died in the line of duty.,politics
0,"As Florida's CFO, I shut down Krakow's scam and refunded more than $1.2 million to Josephine and other victims of this con man.",politics
1,The Air Force wants taxpayers to fund a fantasy football league.,politics
2,About 3 percent of murders and crimes are committed with guns from people who actually (legally) purchase those guns.,politics
0,Says the U.S. Supreme Court found that Social Security is not guaranteed.,politics
1,SaysMichael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado.,politics
0,Oregonians have an amazing no-cost way to fight abortion with free political donations,politics
1,Mr. Caprio is a career politician who has never worked in the private sector.,politics
2,Donald Trump has said nuclear proliferation is OK.,politics
0,"Hillary Clinton has taken over $800,000 from lobbyists.",politics
1,Barack Obama has never even worked in business.,politics
2,Says the Arizona immigration law expressly bans racial profiling.,politics
1,Says Gov. Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S.-Mexico border.,politics
1,"In 2005, Dan Branch tried to expand third-trimester abortions in Texas.",politics
2,We (Democrats) have made steady progress creating jobs and improving our schools.,politics
0,"Whether you like to admit it or not, half our general revenue goes to education.",politics
1,Im the only one whos fought against developers draining the Everglades!,politics
2,Says Ron Johnson calls Social Security a Ponzi scheme and wants to privatize the program.,politics
2,"There are 31 other states and 10,000 other cities that have the same type of policies that we just passed, referring to North Carolinas House Bill 2.",politics
2,While Sarah was Mayor of Wasilla she tried to fire our highly respected City Librarian because the Librarian refused to consider removing from the library some books that Sarah wanted removed.,politics
2,"If Milwaukee approves reducing its maximum forfeiture for marijuana possession to $50, the city would have 23 different bicycle violations that have a higher forfeiture.",politics
1,We have more illegal immigrants here than we did five years ago.,politics
1,The U.S. Patent and Trademark Office received zero complaints about the Washington Redskins name.,politics
2,Says Chris Christie vetoed a jobs package of 30 bills.,politics
0,There are already more American jobs in the solar industry than in coal mining.,politics
2,Says Illinois gubernatorial candidate Bill Bradys first priority after winning the primary was to sponsor a bill that would mass-euthanize sheltered dogs and cats in gas chambers.,politics
2,Barack Obama is in an economy thats only worsened since hes been president of the United States.,politics
2,"Says New Jersey is down nearly 200,000 jobs from its pre-recession peak and with Gov. Chris Christie New Jersey has trailed the rest of America when it comes to unemployment for 12 consecutive months.",politics
1,Says Thomas Eric Duncan came into the United States with an elevated temperature.,politics
2,Gas prices have gone up $2 since Obama took office.,politics
0,Webster sponsored a bill to create a form of marriage that would trap women in abusive relationships.,politics
0,Says judges get better benefits at a lower cost than everybody else in the state.,politics
0,There are a lot of casinos across the country that have gone bankrupt.,politics
0,Small businesses create 70 percent of the jobs in America.,politics
2,"Seniors with coverage under Medicare Advantage will give up ""more than their share"" because of health care reform",politics
2,"Over 12,000 school kids were arrested in Florida. It makes Florida the nations leader in that area.",politics
1,There are more oil rigs in operation in the United States than the rest of the world combined.,politics
2,"Payday lenders profit from the poor by charging 1,000-plus percent interest.",politics
2,"The Social Security trust fund is sound. Without anything being done, it would function well into 2038; and even after that time with no changes, we could pay 80 percent of the benefits that people have earned.",politics
1,The Obama administration shut down the Amber Alert program because of the government shutdown.,politics
2,"Every single one of the 41 Republican senators who just blocked a raise in the minimum wage will receive a $2,800 cost-of-living adjustment on January 1, 2015.",politics
0,"In Texas, the No. 1 name for new male babies many of whom will vote one day is Jose.",politics
1,"Under the Cash for Clunkers program, all we've got to do is ... go to a local junkyard, all you've got to do is tow it to your house. And you're going to get $4,500.",politics
1,Not one Republican has the guts to recognize that climate change is real.,politics
2,"While our people work longer hours for lower wages, almost all new income goes to the top 1 percent.",politics
1,"In the last five years, 28,000 people have been killed along the U.S.-Mexico border.",politics
1,Says Obama health reform law denies millions access to affordable insurance.,politics
1,Close to 30% of our federal prison population consists of illegal immigrants.,politics
1,Says Rick Scott called education not a core function of the state.,politics
1,"The Family Research Council, according to some government agencies, is a terrorist group.",politics
0,"Says Rep. Jim Weidner proposed a bill taking away health care for 80,000 of Oregons children.",politics
0,Says that in the 1985 election former Gov. Tom Kean had the largest winning margin for a gubernatorial candidate in Jersey history.,politics
1,Obamacare is the biggest tax increase in American history.,politics
0,You ... said that Barack Obama was not ready to be commander in chief.,politics
0,Im the only member of the House of Representatives who raised most of his campaign funds in the last election from small contributions of less than $200.,politics
0,"Unlike the gridlock in Washington, more than 80 percent of the bills we passed during this General Assembly had bipartisan support.",politics
1,Josh Mandel is lying about his own record. The rating of Ohios investment fund has NOT improved.,politics
